Name,Term,ES,NES
BC121206_Th22,TH,-347.509065505752,-0.10686215248774764
BC120926_Treg2,TREG,-315.58357944338604,-0.09704477936432462
BC120607_Treg2,TREG,-308.91397555840194,-0.09499381638771058
BC120926_Naive,TH,-306.90179849160813,-0.09437505390382796
BC121206_Th1/17,TH17,298.1914455485239,0.09169654229990389
BC120926_Treg22,TREG,-295.0979997468967,-0.09074527998827189
BC121206_Treg22,TREG,-282.7274608330781,-0.08694122839082598
BC120607_Th17,TH,-262.4009051905459,-0.08069063033675303
BC120926_Th22,TH17,-254.28331550183884,-0.07819439874669333
BC120926_Th17,TH,-253.2500922705649,-0.07787667334193708
BC121206_Treg1,TREG,-251.41460631330392,-0.07731224495797973
BC120607_Th17,TH17,249.74814105042606,0.0767997919525365
BC120926_Treg1,TREG,-236.30959434468787,-0.07266731838614966
BC121206_Th1,TH,-219.28941908866273,-0.06743346193716605
BC120607_Th22,TH,-215.64000048791786,-0.06631123300642765
BC121206_Th22,TH17,-202.98372364918214,-0.062419314435901214
BC121206_Th2,TH,-202.19481525782794,-0.06217671803429925
BC120926_Th1/17,TH1,-194.14582270475967,-0.05970158067830849
BC120926_Th1,TH1,-189.66554912309493,-0.0583238563936948
BC120607_Th22,TH17,176.9668886393365,0.05441890447242451
BC121206_Th1,TH1,-169.17760657317103,-0.05202363041903187
BC121206_Th1/17,TH,-140.79099425235654,-0.04329449269129324
BC120607_Treg1/17,TREG,-134.88328401810577,-0.04147781884139771
BC121206_Th1/17,TH1,121.10282079725403,0.0372402028818967
BC120607_Treg1,TREG,-109.62294832751104,-0.03371003919935742
BC120607_Treg22,TREG,-108.1445313922477,-0.03325541274019828
BC120926_Th17,TH17,72.74349110282401,0.02236927553935258
BC120926_Th22,TH,-72.47817883145945,-0.02228768963782173
BC120926_Th2,TH,-65.27763043882078,-0.020073456466063445
BC120607_Th1/17,TH,-54.72358606715534,-0.016827993222202547
BC120607_Th1,TH,-54.68545987221478,-0.016816269075519967
BC120926_Th1/17,TH17,28.01055043213546,0.008613495326196203
BC120607_Th2,TH,-24.716056956862303,-0.00760040905285781
